,name,raw_wp_url,pdf_url,number_pages,number_images,number_characters,number_equations
168,adshares,https://whitepaper.io/document/465/adshares-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rkUSCz41B,14,14,25258,0
169,aelf,https://whitepaper.io/document/33/aelf-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=BkcYxlkAM,35,34,69059,3
170,stratis,https://whitepaper.io/document/0/stratis-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=stratis,21,24,46921,0
171,nkn,https://whitepaper.io/document/148/nkn-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SkmswWZWX,8,4,21552,2
172,insure_defi,https://whitepaper.io/document/738/insure-defi-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SJXrMR4Uu,8,0,26491,15
173,origintrail,https://whitepaper.io/document/144/origintrail-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Hkha4ZW-Q,27,13,49204,1
174,creditcoin,https://whitepaper.io/document/654/creditcoin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=BJROXnkmO,31,37,63386,4
175,fetch,https://whitepaper.io/document/447/fetch-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HyDMIoh0N,34,38,89377,0
176,world_mobile_token,https://whitepaper.io/document/0/world-mobile-token-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=world-mobile-token,12,1,44449,0
177,mdex,https://whitepaper.io/document/719/mdex-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rysxK7qB_,4,1,4579,0
178,utrust,https://whitepaper.io/document/198/utrust-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rkpNVfmW7,38,111,51640,0
179,vai,https://whitepaper.io/document/0/vai-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=vai,13,5,25533,0
180,rif_token,https://whitepaper.io/document/405/rif-token-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=r1DJUFMhN,28,6,54634,0
181,venus,https://whitepaper.io/document/644/venus-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ryAt0fxfd,13,5,26066,0
182,propy,https://whitepaper.io/document/288/propy-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJaMSPw-m,31,11,48671,1
183,aergo,https://whitepaper.io/document/494/aergo-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJ45rFCQH,69,35,143271,13
184,ark,https://whitepaper.io/document/40/ark-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rkxRolyAz,17,5,39801,9
185,wirex,https://whitepaper.io/document/463/wirex-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=BkTb60-Jr,50,44,61288,1
186,myneighboralice,https://whitepaper.io/document/682/myneighboralice-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=H1ZlsrW4_,28,11,40435,1
187,alchemy_pay,https://whitepaper.io/document/0/alchemy-pay-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=alchemy-pay,20,29,39407,0
188,verge,https://whitepaper.io/document/12/verge-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ByHfyJKpf,16,15,33961,8
